n,code,avg_comparisons,std_dev
1000,0,23293.4,605.858
1000,1,23346.9,711.168
1000,2,23310.1,661.902
1000,3,23390.8,668.588
3000,0,99222.1,2112.11
3000,1,99343.2,2099.48
3000,2,98964.5,2065.45
3000,3,99397.7,1916.99
5000,0,188340,3103.82
5000,1,188347,2910.7
5000,2,188878,3708.16
5000,3,189044,3043
7000,0,267949,4273.49
7000,1,267743,4263.67
7000,2,267739,4501.01
7000,3,267632,3712.36
9000,0,388010,5426.02
9000,1,388991,6041.73
9000,2,389055,5772.63
9000,3,387161,5334.62
11000,0,484772,6724.7
11000,1,485504,6833.64
11000,2,483729,5438.84
11000,3,484080,7296.01
13000,0,562980,7879.87
13000,1,564185,7744.12
13000,2,563232,6983.41
13000,3,562419,7490.65
15000,0,657968,8715.43
15000,1,660028,7423.67
15000,2,659111,7412.26
15000,3,658271,7914.43
